portal_idx,serial_number,z_portal,y_center,x_center,status,z_raw,y_raw,x_raw,ml_prob,particle_class,notes
301,M50L-23,28.0,718.3,975.3,matched,1850.0,662.0,1032.0,0.9016905491987646,1.0,
302,M50L-23,30.0,796.6,1202.9,matched,1953.0,583.0,1260.0,0.3953096927917376,1.0,
303,M50L-23,30.0,344.3,504.0,matched,1985.0,1035.0,562.0,0.1964345481377326,1.0,
304,M50L-23,37.0,814.8,793.4,matched,2406.0,567.0,853.0,0.9041868347239336,1.0,
305,M50L-23,46.0,1271.6,647.3,matched,2948.0,108.0,708.0,0.9161423894299388,1.0,
306,M50L-23,48.0,1271.1,694.4,matched,3057.0,109.0,753.0,0.4379158983498941,4.0,
307,M50L-23,48.0,1271.5,645.7,matched,3057.0,111.0,657.0,0.3626065822293041,3.0,
308,M50L-23,48.0,1269.2,596.6,matched,3022.0,117.0,614.0,0.1685030999980312,-1.0,
309,M50L-23,48.0,1258.7,532.3,matched,3085.0,121.0,591.0,0.6899808579508074,3.0,
310,M50L-23,49.0,1097.7,245.9,matched,3110.0,282.0,305.0,0.9962623150171744,3.0,
311,M50L-23,49.0,1217.6,413.3,matched,3124.0,162.0,473.0,0.50354439660751,-1.0,
312,M50L-23,49.0,1270.4,691.0,matched,3168.0,108.0,710.0,0.5762625688280493,3.0,
313,M50L-23,50.0,913.0,764.0,matched,3195.0,467.0,824.0,0.9980986317865927,1.0,
314,M50L-23,50.0,1187.0,356.1,matched,3191.0,193.0,417.0,0.9962623150171744,3.0,
315,M50L-23,50.0,1251.4,502.9,matched,3201.0,128.0,564.0,0.5781299562579056,3.0,
316,M50L-23,50.0,1254.1,513.2,matched,3180.0,126.0,573.0,0.1682900282057246,3.0,
317,M50L-23,50.0,1271.7,649.2,matched,3209.0,108.0,708.0,0.9976515713379828,3.0,
318,M50L-23,50.0,1261.4,774.8,matched,3201.0,119.0,835.0,0.9861697129224944,1.0,
319,M50L-23,50.0,1245.0,840.3,matched,3210.0,134.0,900.0,0.5860963064680347,-1.0,
320,M50L-23,50.0,1262.3,552.1,matched,3206.0,117.0,612.0,0.0115066208106655,-1.0,
321,M50L-23,51.0,1233.0,448.4,matched,3271.0,146.0,509.0,0.076395424912794,4.0,
322,M50L-23,51.0,1269.5,607.9,matched,3270.0,110.0,669.0,0.9838199727800584,3.0,
323,M50L-23,51.0,1271.2,668.7,matched,3257.0,109.0,727.0,0.9868192355276196,3.0,
324,M50L-23,51.0,1270.7,691.3,matched,3274.0,109.0,750.0,0.3295451623074655,3.0,
325,M50L-23,51.0,1270.5,698.2,matched,3242.0,107.0,710.0,0.0883164304064309,-1.0,
326,M50L-23,51.0,1260.3,775.4,matched,3240.0,119.0,835.0,0.9795766442127144,1.0,
327,M50L-23,61.0,939.0,447.3,matched,3886.0,441.0,508.0,0.9986679358251932,1.0,
